slug,name,long
liberty,Liberty,Liberty University
limestone,Limestone,Limestone College
lincoln-christian,Lincoln Christian,Lincoln Christian College & Seminary
lincoln-memorial,Lincoln Memorial,Lincoln Memorial University
lincoln-mo,Lincoln (MO),Lincoln University (Mo.)
lincoln-pa,Lincoln (PA),The Lincoln University (Pa.)
lindenwood-mo,Lindenwood,Lindenwood University
linfield,Linfield,Linfield College
lipscomb,Lipscomb,Lipscomb University
liu-post,LIU Post,LIU Post
livingstone,Livingstone,Livingstone College
lock-haven,Lock Haven,Lock Haven University
long-beach-st,Long Beach St.,Long Beach State University
long-island,Long Island,Long Island University
longwood,Longwood,Longwood University
loras,Loras,Loras College
louisiana-col,Louisiana Col.,Louisiana College
louisiana-tech,Louisiana Tech,Louisiana Tech University
louisville,Louisville,University of Louisville
loyola-chicago,Loyola (IL),Loyola University Chicago
loyola-maryland,Loyola Maryland,Loyola University Maryland
loyola-marymount,Loyola Marymount,Loyola Marymount University
lsu,LSU,Louisiana State University
lubbock-christian,Lubbock Christian,Lubbock Christian University
luther,Luther,Luther College
lycoming,Lycoming,Lycoming College
lynchburg,Lynchburg,University of Lynchburg
lyndon-st,Lyndon St.,Lyndon State College
lynn,Lynn,Lynn University
lyon,Lyon College,Lyon College
macalester,Macalester,Macalester College
macmurray,MacMurray,MacMurray College
maine,Maine,University of Maine
maine-maritime,Maine Maritime,Maine Maritime Academy
malone,Malone,Malone University
manchester,Manchester,Manchester University
manhattan,Manhattan,Manhattan College
manhattanville,Manhattanville,Manhattanville College
mansfield,Mansfield,Mansfield Univ. of Pennsylvania
maranatha-baptist,Maranatha Baptist,Maranatha Baptist University
marian-wi,Marian (WI),Marian University
marietta,Marietta,Marietta College
marist,Marist,Marist College
marquette,Marquette,Marquette University
mars-hill,Mars Hill,Mars Hill University
marshall,Marshall,Marshall University
martin-luther,Martin Luther,Martin Luther College
mary,Mary,University of Mary
mary-baldwin,Mary Baldwin,Mary Baldwin University
mary-hardin-baylor,Mary Hardin-Baylor,University of Mary Hardin-Baylor
mary-washington,Mary Washington,University of Mary Washington
maryland,Maryland,University of Maryland-College Park
marymount-va,Marymount (VA),Marymount University
maryville-mo,Maryville (MO),Maryville University of Saint Louis
maryville-tn,Maryville (TN),Maryville College
marywood,Marywood,Marywood University
mass-maritime,Mass. Maritime,Massachusetts Maritime Academy
massachusetts,Mass-Amherst,University of Massachusetts
mcdaniel,McDaniel,McDaniel College
mckendree,McKendree,McKendree University
mcla,Mass-Liberal-Arts,Massachusetts College of Liberal Arts
mcmurry,McMurry,McMurry University
mcneese-st,McNeese St.,McNeese State University
